Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Angela's Cafe,https://www.fjlkjlksdjfsdf.com,9AM,5PM,☕☕☕☕☕,💪💪💪,🔌🔌
sdfsdf,https://www.fjlkjlksdjfsdf.com,sdfsdf,sdfsdf,☕️,✘,✘
Herkimer,"https://www.google.com/maps/place/Herkimer+Coffee/@47.6272557,-122.3425806,17z/data=!3m1!4b1!4m5!3m4!1s0x5490153ed28bdb65:0x34240aa8e994b9fb!8m2!3d47.6272616!4d-122.3425502",10AM,4PM,☕☕☕☕☕,💪,🔌🔌
Herkimer,"https://www.google.com/maps/place/Herkimer+Coffee/@47.6272557,-122.3425806,17z/data=!3m1!4b1!4m5!3m4!1s0x5490153ed28bdb65:0x34240aa8e994b9fb!8m2!3d47.6272616!4d-122.3425502",10AM,4PM,☕☕☕☕☕,💪,🔌🔌
Herkimer,"https://www.google.com/maps/place/Herkimer+Coffee/@47.6272557,-122.3425806,17z/data=!3m1!4b1!4m5!3m4!1s0x5490153ed28bdb65:0x34240aa8e994b9fb!8m2!3d47.6272616!4d-122.3425502",10AM,4PM,☕☕☕☕☕,💪,🔌🔌
yiluiluiluu,"https://www.google.com/maps/place/Herkimer+Coffee/@47.6272557,-122.3425806,17z/data=!3m1!4b1!4m5!3m4!1s0x5490153ed28bdb65:0x34240aa8e994b9fb!8m2!3d47.6272616!4d-122.3425502",10AM,4PM,☕,💪💪💪,🔌🔌
